strain	date
hCoV-19/USA/NY-Wadsworth-21015607-01/2021	2021-01-18
hCoV-19/USA/NY-Wadsworth-21007401-01/2021	2021-01-11
hCoV-19/USA/MD-CDC-LC0008056/2021	2021-01-18
hCoV-19/USA/MD-CDC-LC0008058/2021	2021-01-18
hCoV-19/USA/FL-CDC-LC0001681/2020	2020-12-26
hCoV-19/USA/GA-CDC-LC0001194/2020	2020-12-26
hCoV-19/USA/NY-PRL-2021_02_15_03E06/2021	2021-02-14
hCoV-19/USA/PA-CDC-QDX21487578/2021	2021-01-25
hCoV-19/USA/NY-NYULH302/2021	2021-02-02
hCoV-19/USA/MD-CDC-QDX21709456/2021	2021-02-03
hCoV-19/USA/MA-CDC-STM-000011065/2021	2021-02-07
hCoV-19/USA/FL-CDC-QDX21872244/2021	2021-02-09
hCoV-19/USA/MI-CDC-2-3877492/2021	2021-01-08
hCoV-19/USA/NY-PRL-2021_02_19_01O21/2021	2021-02-17
hCoV-19/USA/NJ-PHEL-P21-7627/2021	2021-02-12
hCoV-19/USA/NJ-PHEL-P21-7637/2021	2021-02-12
hCoV-19/USA/NV-NSPHL-NV2066529/2021	2021-02-04
hCoV-19/USA/NY-PRL-2021_03_01_01M05/2021	2021-02-27
hCoV-19/USA/MA-CDC-QDX22284394/2021	2021-02-21
hCoV-19/USA/NY-CDC-LC0020103/2021	2021-02-22
hCoV-19/USA/NY-Wadsworth-21023691-01/2021	2021-02-08
hCoV-19/USA/NY-Wadsworth-21019044-01/2021	2021-01-24
hCoV-19/USA/NY-Wadsworth-21010793-01/2021	2021-01-14
hCoV-19/USA/NC-CDC-STM-000024577/2021	2021-02-24
hCoV-19/USA/FL-CDC-STM-000020588/2021	2021-02-20
hCoV-19/USA/NY-MSHSPSP-PV27116/2021	2021-02-02
hCoV-19/USA/NY-MSHSPSP-PV27548/2021	2021-02-04
hCoV-19/USA/NY-MSHSPSP-PV27677/2021	2021-02-10
hCoV-19/USA/NJ-PHEL-21-6002/2021	2021-02-24
hCoV-19/USA/NJ-PHEL-21-6015b/2021	2021-02-28
hCoV-19/Haiti/49130082/2020	2020-05-10
hCoV-19/Haiti/49160075/2020	2020-05-15
hCoV-19/Haiti/49210051/2020	2020-05-20
hCoV-19/Haiti/49210056/2020	2020-05-20
hCoV-19/Haiti/49210148/2020	2020-05-19
hCoV-19/Haiti/49210160/2020	2020-05-19
hCoV-19/Haiti/49210166/2020	2020-05-19
hCoV-19/Haiti/49210173/2020	2020-05-19
hCoV-19/Haiti/49210178/2020	2020-05-19
hCoV-19/Haiti/49210189/2020	2020-05-17
hCoV-19/Haiti/49210215/2020	2020-05-20
hCoV-19/Haiti/49210236/2020	2020-05-20
hCoV-19/Haiti/49220000/2020	2020-05-21
hCoV-19/Haiti/49220018/2020	2020-05-21
hCoV-19/Haiti/49230042/2020	2020-05-21
hCoV-19/Haiti/49230055/2020	2020-05-21
hCoV-19/Haiti/49230056/2020	2020-05-21
hCoV-19/Haiti/49230104/2020	2020-05-21
hCoV-19/Haiti/49230110/2020	2020-05-21
hCoV-19/Haiti/49230112/2020	2020-05-21
hCoV-19/Haiti/49240102/2020	2020-05-24
hCoV-19/Haiti/49240111/2020	2020-05-24
hCoV-19/Haiti/49240118/2020	2020-05-24
hCoV-19/Haiti/49250213/2020	2020-05-25
hCoV-19/USA/NJ-PHEL-21-8140/2021	2021-03-05
hCoV-19/USA/WY-WPHL-21016090/2021	2021-02-10
hCoV-19/USA/MA-MASPHL-02270/2021	2021-03-02
hCoV-19/Haiti/34915/2020	2020-05-19
hCoV-19/Haiti/34935/2020	2020-06-02
hCoV-19/Haiti/34939/2020	2020-06-03
hCoV-19/Haiti/34945/2020	2020-06-02
hCoV-19/Haiti/34949/2020	2020-06-08
hCoV-19/Haiti/34951/2020	2020-06-08
hCoV-19/Haiti/34954/2020	2020-06-05
hCoV-19/Haiti/34963/2020	2020-06-14
hCoV-19/Haiti/34964/2020	2020-06-10
hCoV-19/Haiti/34966/2020	2020-06-15
hCoV-19/Haiti/34974/2020	2020-06-22
hCoV-19/USA/NY-MSHSPSP-PV28446/2021	2021-02-17
hCoV-19/USA/NY-CUIMC-NP-5047/2021	2021-01-28
hCoV-19/Haiti/34003/2020	2020-05-15
hCoV-19/Haiti/34000/2020	2020-05-16
hCoV-19/USA/TX-HMH-MCoV-33463/2020	2020-12-10
hCoV-19/USA/NY-NYGC-653-VTM1-OKIH376/2021	2021-01-18
hCoV-19/Haiti/34002/2020	2020-05-15
hCoV-19/USA/NY-NYGC-798-VTM1-NFMI257/2021	2021-01-19
hCoV-19/USA/NC-Yale-5227/2020	2020-12-09
hCoV-19/Canada/QC-1nIEOQ-7051517281/2020	2020-12-01
hCoV-19/USA/NY-NYGC-624-VTM2-RCPJ838/2021	2021-01-13
hCoV-19/USA/NY-CUIMC-NP-3396/2020	2020-11-11
hCoV-19/USA/NY-CUIMC-NP-3483/2020	2020-11-19
hCoV-19/USA/NY-CUIMC-NP-4266/2021	2021-01-11
hCoV-19/DominicanRepublic/Yale-5368/2021	2021-01-14
hCoV-19/USA/MD-MDH-2633/2021	2021-01-04
hCoV-19/USA/NY-PRL-2021_0614_51F06/2021	2021-01-04
hCoV-19/USA/NY-NA-21-234/2021	2021-02-02
hCoV-19/USA/CA-CDPH-2000014502/2020	2020-12-16
hCoV-19/USA/NY-NYCPHL-000946/2020	2020-09-28
hCoV-19/USA/NY-NYCPHL-000947/2020	2020-09-29
hCoV-19/USA/NY-NYCPHL-001042/2020	2020-09-08
hCoV-19/USA/NY-NYCPHL-001043/2020	2020-09-08
hCoV-19/USA/FL-BPHL-15288/2021	2021-01-25
hCoV-19/USA/NY-NYCPHL-001134/2020	2020-10-26
hCoV-19/USA/NY-NYCPHL-001276/2020	2020-11-09
hCoV-19/USA/CT-Yale-496/2020	2020-10-12
hCoV-19/USA/CT-Yale-491/2020	2020-10-14
hCoV-19/USA/CT-Yale-501/2020	2020-10-12
hCoV-19/USA/CT-Yale-490/2020	2020-10-13
hCoV-19/USA/CT-Yale-492/2020	2020-10-14
hCoV-19/USA/CT-Yale-493/2020	2020-10-16
hCoV-19/USA/CT-Yale-494/2020	2020-10-16
hCoV-19/USA/CT-Yale-497/2020	2020-10-12
hCoV-19/USA/CT-Yale-500/2020	2020-10-14
hCoV-19/USA/CT-Yale-499/2020	2020-10-13
hCoV-19/USA/MA-MGH-02757/2020	2020-09-23
hCoV-19/USA/MA-MGH-02760/2020	2020-09-23
hCoV-19/USA/MA-MGH-02792/2020	2020-09-24
hCoV-19/USA/MA-MGH-02800/2020	2020-09-24
hCoV-19/USA/MA-MGH-02823/2020	2020-09-24
hCoV-19/USA/MA-MGH-03460/2020	2020-11-17
hCoV-19/USA/MA-NEIDL-01568/2021	2021-01-04
hCoV-19/USA/MA-NEIDL-01569/2021	2021-01-05
hCoV-19/USA/MA-NEIDL-01576/2021	2021-01-05
hCoV-19/USA/RI-QDX-2991/2021	2021-01-06
hCoV-19/USA/MA-QDX-3144/2021	2021-01-06
hCoV-19/USA/MA-QDX-3162/2021	2021-01-07
hCoV-19/USA/NY-NYCPHL-001994/2020	2020-12-28
hCoV-19/USA/NY-NYCPHL-002070/2020	2020-12-23
hCoV-19/USA/NY-Wadsworth-21006089-01/2021	2021-01-06
hCoV-19/USA/NY-Wadsworth-21006096-01/2021	2021-01-07
hCoV-19/USA/GA-CDC-LC00001194/2020	2020-12-26
hCoV-19/DominicanRepublic/UNIBE100/2020	2020-10-20
hCoV-19/USA/RI-Broad_RIDOH-00163/2021	2021-01-19
