strain	virus	gisaid_epi_isl	date	region	country	division
hCoV-19/Argentina/PAIS-A0719/2020	betacoronavirus	EPI_ISL_4404859	2020-06-23	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0778/2020	betacoronavirus	EPI_ISL_4404965	2020-06-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-H0166/2020	betacoronavirus	EPI_ISL_3478867	2020-06-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0080/2020	betacoronavirus	EPI_ISL_4291357	2020-06-20	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0079/2020	betacoronavirus	EPI_ISL_4291358	2020-06-18	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0768/2020	betacoronavirus	EPI_ISL_4404950	2020-06-16	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A1038/2020	betacoronavirus	EPI_ISL_4405707	2020-06-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A1029/2020	betacoronavirus	EPI_ISL_4405698	2020-06-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0281/2020	betacoronavirus	EPI_ISL_792356	2020-06-10	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-H0163/2020	betacoronavirus	EPI_ISL_3478839	2020-06-09	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-H0162/2020	betacoronavirus	EPI_ISL_3478904	2020-06-04	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0022/2020	betacoronavirus	EPI_ISL_792423	2020-06-03	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0021/2020	betacoronavirus	EPI_ISL_792422	2020-06-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0019/2020	betacoronavirus	EPI_ISL_792420	2020-06-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0676/2020	betacoronavirus	EPI_ISL_4404738	2020-06-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0017/2020	betacoronavirus	EPI_ISL_792418	2020-05-31	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0015/2020	betacoronavirus	EPI_ISL_792416	2020-05-29	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0274/2020	betacoronavirus	EPI_ISL_792352	2020-05-28	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0217/2020	betacoronavirus	EPI_ISL_792300	2020-05-27	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0014/2020	betacoronavirus	EPI_ISL_792415	2020-05-27	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0273/2020	betacoronavirus	EPI_ISL_792351	2020-05-26	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0012/2020	betacoronavirus	EPI_ISL_792413	2020-05-26	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0313/2020	betacoronavirus	EPI_ISL_792383	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0314/2020	betacoronavirus	EPI_ISL_792384	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0305/2020	betacoronavirus	EPI_ISL_792376	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0307/2020	betacoronavirus	EPI_ISL_792378	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0302/2020	betacoronavirus	EPI_ISL_792374	2020-05-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0011/2020	betacoronavirus	EPI_ISL_792412	2020-05-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0228/2020	betacoronavirus	EPI_ISL_792309	2020-05-20	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0317/2020	betacoronavirus	EPI_ISL_792387	2020-05-19	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0326/2020	betacoronavirus	EPI_ISL_792396	2020-05-19	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0311/2020	betacoronavirus	EPI_ISL_792382	2020-05-19	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0227/2020	betacoronavirus	EPI_ISL_792308	2020-05-18	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0304/2020	betacoronavirus	EPI_ISL_792375	2020-05-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0243/2020	betacoronavirus	EPI_ISL_792323	2020-05-14	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0324/2020	betacoronavirus	EPI_ISL_792394	2020-05-11	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0007/2020	betacoronavirus	EPI_ISL_792408	2020-05-10	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0006/2020	betacoronavirus	EPI_ISL_792407	2020-05-08	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0323/2020	betacoronavirus	EPI_ISL_792393	2020-05-07	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0265/2020	betacoronavirus	EPI_ISL_792344	2020-05-06	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0004/2020	betacoronavirus	EPI_ISL_792405	2020-05-05	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0233/2020	betacoronavirus	EPI_ISL_792314	2020-04-30	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0319/2020	betacoronavirus	EPI_ISL_792389	2020-04-28	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0232/2020	betacoronavirus	EPI_ISL_792313	2020-04-27	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0245/2020	betacoronavirus	EPI_ISL_792325	2020-04-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0244/2020	betacoronavirus	EPI_ISL_792324	2020-04-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0254/2020	betacoronavirus	EPI_ISL_792334	2020-04-24	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0251/2020	betacoronavirus	EPI_ISL_792331	2020-04-23	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0208/2020	betacoronavirus	EPI_ISL_792293	2020-04-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0209/2020	betacoronavirus	EPI_ISL_792294	2020-04-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0249/2020	betacoronavirus	EPI_ISL_792329	2020-04-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0247/2020	betacoronavirus	EPI_ISL_792327	2020-04-13	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0291/2020	betacoronavirus	EPI_ISL_792365	2020-04-09	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0014/2020	betacoronavirus	EPI_ISL_430805	2020-04-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0011/2020	betacoronavirus	EPI_ISL_430802	2020-03-31	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-E0131/2020	betacoronavirus	EPI_ISL_1395946	2020-06-24	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0041/2020	betacoronavirus	EPI_ISL_792442	2020-06-22	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0129/2020	betacoronavirus	EPI_ISL_1395950	2020-06-17	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0128/2020	betacoronavirus	EPI_ISL_1395949	2020-06-13	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0037/2020	betacoronavirus	EPI_ISL_792438	2020-05-23	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0036/2020	betacoronavirus	EPI_ISL_792437	2020-05-22	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0030/2020	betacoronavirus	EPI_ISL_792431	2020-05-18	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0028/2020	betacoronavirus	EPI_ISL_792429	2020-05-14	South America	Argentina	Chaco
