Accession ID	Collection date	Submission date	Location
EPI_ISL_443466	2020-04-17	2020-05-12	Europe / United Kingdom / England
EPI_ISL_439166	2020-04-20	2020-05-12	Europe / United Kingdom / Scotland
EPI_ISL_434266	2020-04-01	2020-04-29	North America / USA / Washington / Yakima County
EPI_ISL_441765	2020-03-26	2020-05-12	Europe / United Kingdom / Northern Ireland
EPI_ISL_438764	2020-03-29	2020-05-12	Europe / United Kingdom / Scotland
EPI_ISL_445166	2020-03-22	2020-05-15	North America / USA / California / San Diego County
EPI_ISL_434065	2020-04-01	2020-04-29	North America / USA / Washington / Pierce County
EPI_ISL_439266	2020-04-11	2020-05-12	Europe / United Kingdom / Scotland
EPI_ISL_434867	2020-03-23	2020-05-01	North America / USA / Texas
EPI_ISL_442167	2020-04-06	2020-05-12	Europe / United Kingdom / England
EPI_ISL_436667	2020-04-11	2020-05-07	North America / USA / California / Santa Clara County
EPI_ISL_439167	2020-04-20	2020-05-12	Europe / United Kingdom / Scotland
EPI_ISL_433568	2020-04-01	2020-04-29	Europe / United Kingdom / Scotland
EPI_ISL_434268	2020-03-30	2020-04-29	North America / USA / Washington / Yakima County
EPI_ISL_435368	2020-04-02	2020-05-04	North America / USA / Utah
EPI_ISL_435468	2020-04-03	2020-05-05	North America / USA / Louisiana / New Orleans
EPI_ISL_443568	2020-04-14	2020-05-12	Europe / United Kingdom / England
EPI_ISL_437866	2020-04-02	2020-05-11	North America / USA / Connecticut
EPI_ISL_444766	2020-04-03	2020-05-14	North America / USA / New York / Nassau County
EPI_ISL_435466	2020-03-28	2020-05-05	North America / USA / Louisiana / New Orleans
EPI_ISL_433967	2020-04-12	2020-04-29	Europe / United Kingdom / England
EPI_ISL_434667	2020-04-14	2020-04-30	Europe / Sweden / Uppsala
EPI_ISL_439567	2020-03-30	2020-05-12	Europe / United Kingdom / England
EPI_ISL_434568	2020-01-29	2020-02-24	Asia / Hong Kong
EPI_ISL_434368	2020-03-31	2020-04-29	Europe / Belgium / Antwerp
EPI_ISL_442668	2020-04-06	2020-05-12	Europe / United Kingdom / England
EPI_ISL_442268	2020-04-03	2020-05-12	Europe / United Kingdom / England
EPI_ISL_443068	2020-04-10	2020-05-12	Europe / United Kingdom / England
EPI_ISL_444269	2020-04-20	2020-05-13	Europe / United Kingdom / England
EPI_ISL_441269	2020-04-02	2020-05-12	Europe / United Kingdom / England
EPI_ISL_444268	2020-04-20	2020-05-13	Europe / United Kingdom / England
EPI_ISL_442269	2020-04-06	2020-05-12	Europe / United Kingdom / England
EPI_ISL_438169	2020-04-23	2020-05-12	North America / USA / Washington / King County
EPI_ISL_433176	2020-04-19	2020-04-29	Europe / United Kingdom / Scotland
EPI_ISL_437970	2020-03-17	2020-05-12	Europe / Austria / Sistrans
EPI_ISL_445870	2020-04-08	2020-05-16	Europe / United Kingdom / Wales
EPI_ISL_439070	2020-03-22	2020-05-12	Europe / United Kingdom / Scotland
